name,# tweets retweeted,# followers,last tweet retweeted
@parksmovement,30,276,RT @AusConservation: Two former SA senators giving evidence now to Committee in Adelaide #DefendEnviroOrgs
@DrRimmer,26,8807,RT @AusConservation: http://t.co/t5F5d6oHIu http://t.co/a5T1Pv7wnN
@FoEAustralia,24,9563,RT @AusConservation: Whitehaven Coal tells #HoR inquiry of its own political campaigning with @MineralsCouncil #DefendEnviroOrgs #auspol
@CounterActOz,22,1021,RT @AusConservation: You cant even knock on the door of philanthropy without DGR status says Jonathan Duddles from @GreeningAust #DefendEn
@enviroaus,18,65,RT @AusConservation: We've been audited twice in the last year and passed both says @Cam_Walker from @FoEAustralia #DefendEnviroOrgs
@AusBackwards,14,80,RT @AusConservation: We need to talk about climate change as a profound moral crisis @NaomiAKlein @MelbWritersFest
@wannoncan,13,84,RT @AusConservation: We are not going to get an agreement in Paris that is in line with what the science says we need @NaomiAKlein @MelbWri
@MareeTreadwellK,13,873,RT @AusConservation: You cant even knock on the door of philanthropy without DGR status says Jonathan Duddles from @GreeningAust #DefendEn
@csrlagos,12,158,RT @AusConservation: Tweets from House of Reps inquiry into environment groups Adelaide hearing to follow... https://t.co/XpOQQZCgfD #Defen
@CloudsCreek,12,2801,RT @AusConservation: We need to talk about climate change as a profound moral crisis @NaomiAKlein @MelbWritersFest
@traceywithhope,11,1757,"RT @AusConservation: The @MineralsCouncil up now at inquiry into environment groups in Canberra, appearing alongside Whitehaven Coal #Defen"
@JoelRDodd,10,519,"RT @AusConservation: With a big El Nio coming &amp; predictions of a bad bushfire season, the govt should look to safeguard our future from cl"
@Evidentiary1,10,2101,"RT @AusConservation: We undertake ""on ground"", ""in ground"", ""underground"" and ""on water"" work: @PiersVerstegen @ConservationWA #DefendEnvir"
@simone,10,2447,RT @AusConservation: What a great quote from @ConservationWA director and @AusConservation councillor @PiersVerstegen! https://t.co/f2hm7zD
@Pete_Burdon,9,3936,RT @AusConservation: We've been audited twice in the last year and passed both says @Cam_Walker from @FoEAustralia #DefendEnviroOrgs
@KellyaAndrew,9,890,RT @AusConservation: You cant even knock on the door of philanthropy without DGR status says Jonathan Duddles from @GreeningAust #DefendEn
@kellyoshanassy,9,1572,"RT @AusConservation: Vast areas of eastern, southern and western Australia set to experience worse than normal summer bushfire conditions h"
@mrleewhitfield,9,40,RT @AusConservation: Renewed calls for WA Forest Products Commission to lose 'controlled wood' accreditation over karri logging: http://t.c
@BluegumPilliga,8,623,RT @AusConservation: Politicians can spin it any which way but polls show Australians don't swallow mining industry propaganda #freekaren #
@karenagold,8,321,RT @AusConservation: We need to talk about climate change as a profound moral crisis @NaomiAKlein @MelbWritersFest
@timbrown13,8,220,"RT @AusConservation: These Kiribati youth remain deeply unhappy about Peter Dutton's rising sea levels ""joke"" #ourstruggleisreal #climate h"
@enviro_al,8,311,"RT @AusConservation: Walking should be the default mode of travel in the city, writes Matthew Trigg in http://t.co/nJt0ObrScn @Trigg #Sydney"
@mcctrace,7,30,RT @AusConservation: What a great quote from @ConservationWA director and @AusConservation councillor @PiersVerstegen! https://t.co/f2hm7zD
@Aitch_El,7,1699,RT @AusConservation: http://t.co/t5F5d6oHIu http://t.co/a5T1Pv7wnN
@sarahrees,7,1207,"RT @AusConservation: WATCH THIS VIDEO and join us at Vic Parliament lunchtime Monday, as the inquiry into environment groups meets inside h"
@L_DeWeaver,6,2348,"RT @AusConservation: With a big El Nio coming &amp; predictions of a bad bushfire season, the govt should look to safeguard our future from cl"
@tlightly1,6,3641,"RT @AusConservation: The @MineralsCouncil up now at inquiry into environment groups in Canberra, appearing alongside Whitehaven Coal #Defen"
@LouisacdPearle,6,554,RT @AusConservation: Today. Melbourne. 12.30pm. Bring a photo of a place you love! RSVP now! &gt;&gt; #DefendEnviroOrgs http://t.co/rV0uMEzGhO
@Lynquest,6,317,RT @AusConservation: Tony Abbott faces cool reception in Port Moresby this week at Pacific Island Forum from leaders over climate change ht
@RenewCP,6,459,"RT @AusConservation: The proposed threshold for facilities is ridiculously high at 100,000 tonnes of pollution per year: @VictoriaMcKMcH: h"
@PaulSinclair01,6,468,"RT @AusConservation: WATCH THIS VIDEO and join us at Vic Parliament lunchtime Monday, as the inquiry into environment groups meets inside h"
@sugarglida,6,491,RT @AusConservation: Then irony of @TonyAbbottMHR policies is that they make no sense economically @NaomiAKlein @MelbWritersFest
@VChristabel,6,326,RT @AusConservation: Then irony of @TonyAbbottMHR policies is that they make no sense economically @NaomiAKlein @MelbWritersFest
@JanieWray,5,3468,RT @AusConservation: What does the buyback cap really mean for the rivers of the #MurrayDarling Basin? http://t.co/fxB3XbU1SE https://t.co/
@peacenicsta,5,1533,RT @AusConservation: The suggestion that there's a red line dividing 'advocacy' &amp; 'on ground' work is false. @AndrewjGiles gets to the of
@HOPE_Australia_,5,18,"RT @AusConservation: There's no one-size-fits-all solution to environmental problems, says @LeifCocks of @OrangutanTOP. #DefendEnviroOrgs #"
@GumleafG,5,799,"RT @AusConservation: The @MineralsCouncil up now at inquiry into environment groups in Canberra, appearing alongside Whitehaven Coal #Defen"
@JonathanLaNauze,5,461,RT @AusConservation: Protecting nature needn't be at expense of Aboriginal rights as NSW has proved before. Can do again @mikebairdMP? http
@ReclaimAnglesea,5,5750,RT @AusConservation: The fine folks of Melbourne holding photos of the places they love #DefendEnviroOrgs http://t.co/GRnHF296R8
@Rottoturbine,5,1819,RT @AusConservation: What a great quote from @ConservationWA director and @AusConservation councillor @PiersVerstegen! https://t.co/f2hm7zD
@TopazMortmain,5,27,RT @AusConservation: We've been audited twice in the last year and passed both says @Cam_Walker from @FoEAustralia #DefendEnviroOrgs
@PiersVerstegen,5,307,RT @AusConservation: What a great quote from @ConservationWA director and @AusConservation councillor @PiersVerstegen! https://t.co/f2hm7zD
@TocoJuju,5,1608,RT @AusConservation: The Adelaide hearing of the House of Reps inquiry into environment groups ends. Next hearing is in Perth on Thursday. 
@dan_spencer123,4,1405,"RT @AusConservation: These Kiribati youth remain deeply unhappy about Peter Dutton's rising sea levels ""joke"" #ourstruggleisreal #climate h"
@ccofuture,4,122,RT @AusConservation: Whitehaven Coal tells #HoR inquiry of its own political campaigning with @MineralsCouncil #DefendEnviroOrgs #auspol
@david_lunt,4,718,RT @AusConservation: We believe there is a legacy of nuclear waste..which we need to manage responsibly properly maturely @NukeDaveSweeney 
@birdfeeder65,4,173,"RT @AusConservation: Vast areas of eastern, southern and western Australia set to experience worse than normal summer bushfire conditions h"
@bensab3,4,594,RT @AusConservation: Treating water as merely a farm input was how we stuffed up the Murray. Putting it in Ag portfolio repeats mistake htt
@NickAberle,4,547,RT @AusConservation: Restriction of DGR status of env groups might impact implied right of freedom of political communication: @thelawcounc
@SMC54,4,122,RT @AusConservation: You can watch @NaomiAKlein talk from today's Festival of dangerous ideas in full here via  @getuporg https://t.co/pdhm
@emgayfs,4,193,RT @AusConservation: We've been audited twice in the last year and passed both says @Cam_Walker from @FoEAustralia #DefendEnviroOrgs
@pipsterb,4,1919,RT @AusConservation: We believe there is a legacy of nuclear waste..which we need to manage responsibly properly maturely @NukeDaveSweeney 
@MinhKular,4,5515,RT @AusConservation: The beauty of philanthropy is that its not government. It is private wealth for public good @PhilanthropyAus #DefendE
@heard_14,4,20,RT @AusConservation: We need to talk about climate change as a profound moral crisis @NaomiAKlein @MelbWritersFest
@Jillwrite,4,611,RT @AusConservation: Public law academics take their turn before the Inquiry @Pete_Burdon @UniofAdelaide #DefendEnviroOrgs
@LockTheGate,4,10126,RT @AusConservation: The inquiry into environment groups has its Perth hearing today. We're in the room. Tweets to follow. #DefendEnviroOrg
@ConservationWA,4,1761,RT @AusConservation: What a great quote from @ConservationWA director and @AusConservation councillor @PiersVerstegen! https://t.co/f2hm7zD
@VictoriaMcKMcH,4,1315,RT @AusConservation: Many of the places we love saved because people cared and joined Australia's environment groups. #DefendEnviroOrgs htt
@Cam_Walker,4,3021,RT @AusConservation: Restriction of DGR status of env groups might impact implied right of freedom of political communication: @thelawcounc
@ActOnClimate,4,2526,RT @AusConservation: These two agricultural economists giving big shout-outs to BZE for their high quality reports @beyondzeronews #DefendE
@AYCC,4,10560,"RT @AusConservation: These Kiribati youth remain deeply unhappy about Peter Dutton's rising sea levels ""joke"" #ourstruggleisreal #climate h"
@VoteSustainable,3,1033,RT @AusConservation: Poll shows voters believe the govt is trying to silence conservationists.  https://t.co/x6jnVDqGWY
@TimRRead,3,1027,RT @AusConservation: We are not going to get an agreement in Paris that is in line with what the science says we need @NaomiAKlein @MelbWri
@mamaduck9370,3,1588,"RT @AusConservation: We see no distinction between on-ground work, education &amp; advocacy to protect the environment: National Parks Aust Cou"
@sharkeysStuff,3,76,"RT @AusConservation: The proposed threshold for facilities is ridiculously high at 100,000 tonnes of pollution per year: @VictoriaMcKMcH: h"
@Sustainable_AUS,3,88,RT @AusConservation: Uranium deal with India - a jobs and growth boom? asks @FoEAustralia Jim Green @ClimateSpec http://t.co/SFvyji6ByN
@markwakeham,3,2794,RT @AusConservation: Planting trees in the absence of advocacy can result in good work being 'undone in a flash': National Parks Aust Counc
@glenklatovsky,3,58,RT @AusConservation: Many of the places we love saved because people cared and joined Australia's environment groups. #DefendEnviroOrgs htt
@peterjameswills,3,1822,RT @AusConservation: Whitehaven Coal tells #HoR inquiry of its own political campaigning with @MineralsCouncil #DefendEnviroOrgs #auspol
@georgefwoods,3,1354,RT @AusConservation: The @ComCouncil on 'ratbags': We wouldnt have the Magna Carta if we didnt have people who pushed back. #DefendEnviro
@Lucidiscus,3,122,RT @AusConservation: Then irony of @TonyAbbottMHR policies is that they make no sense economically @NaomiAKlein @MelbWritersFest
@sadsapiens,3,161,RT @AusConservation: We've been audited twice in the last year and passed both says @Cam_Walker from @FoEAustralia #DefendEnviroOrgs
@bylongmining,3,581,"RT @AusConservation: The fine folk who turned up today to Vic Parliament to say ""Caring keeps Australian beautiful"" #DefendEnviroOrgs http:"
@TonyDiPalgi,3,37,RT @AusConservation: The Australian PM should look at Canada because Stephen Harper is about to get thrown out of office @NaomiAKlein @Melb
@barbm172,3,346,"RT @AusConservation: We see no distinction between on-ground work, education &amp; advocacy to protect the environment: National Parks Aust Cou"
@BronwenC,3,144,RT @AusConservation: The @ComCouncil tells inquiry that charities employ five times more people than mining does in Australia. #DefendEnvir
@BengoshiNeko,3,160,RT @AusConservation: Treating water as merely a farm input was how we stuffed up the Murray. Putting it in Ag portfolio repeats mistake htt
@JonathanDuddles,3,101,RT @AusConservation: You cant even knock on the door of philanthropy without DGR status says Jonathan Duddles from @GreeningAust #DefendEn
@ecofreethought,3,127,"RT @AusConservation: Live at @MelbWritersFest where @BenOquist has just ntroduced @NaomiAKlein as ""one of the most influential voices of ou"
@JohnDPMorgan,3,779,RT @AusConservation: There are..rogue people that..call themselves 'pro-nuclear environmentalists'.. individuals and not organisations http
@HermaKit,3,748,RT @AusConservation: The fine folks of Melbourne holding photos of the places they love #DefendEnviroOrgs http://t.co/GRnHF296R8
@akaWACA,3,6477,RT @AusConservation: Restriction of DGR status of env groups might impact implied right of freedom of political communication: @thelawcounc
@DugongWarriors,3,528,RT @AusConservation: Many of the places we love saved because people cared and joined Australia's environment groups. #DefendEnviroOrgs htt
@peterc_150,3,809,RT @AusConservation: Treating water as merely a farm input was how we stuffed up the Murray. Putting it in Ag portfolio repeats mistake htt
@ShaughanA,3,4955,RT @AusConservation: Next up to give evidence in the #HoR inquiry into environment groups: @WWF_Australia. #DefendEnviroOrgs #auspol
@cathleenmiacg,3,141,RT @AusConservation: Poll shows Australians do not support govt push to strip communities of right to defend nature: http://t.co/aOtuZvErvf
@kh5094,3,45,RT @AusConservation: We believe there is a legacy of nuclear waste..which we need to manage responsibly properly maturely @NukeDaveSweeney 
@caroljd1964,3,1479,RT @AusConservation: Politicians can spin it any which way but polls show Australians don't swallow mining industry propaganda #freekaren #
@DavidCrosbie2,3,435,RT @AusConservation: The @ComCouncil on 'ratbags': We wouldnt have the Magna Carta if we didnt have people who pushed back. #DefendEnviro
@Damo_Q,3,150,RT @AusConservation: Turnbull has signalled public transport is back on the federal government's agenda - appoints Minister for Cities http
@PhilanthropyAus,3,8850,RT @AusConservation: The beauty of philanthropy is that its not government. It is private wealth for public good @PhilanthropyAus #DefendE
@trisholagreen,2,884,RT @AusConservation: Treating water as merely a farm input was how we stuffed up the Murray. Putting it in Ag portfolio repeats mistake htt
@JoshuaDaCat,2,765,RT @AusConservation: Whitehaven Coal tells #HoR inquiry of its own political campaigning with @MineralsCouncil #DefendEnviroOrgs #auspol
@ookoofan,2,185,RT @AusConservation: Treating water as merely a farm input was how we stuffed up the Murray. Putting it in Ag portfolio repeats mistake htt
@PaulSullivan_au,2,137,RT @AusConservation: C'ttee loving hearing about the science-based advocacy for birds by @BirdlifeOz #DefendEnviroOrgs
@nkweggs,2,1165,RT @AusConservation: Only 22 per cent support Abbott govt plan to stop community groups going to court to defend the environment: http://t.
@KCampaigner,2,516,"RT @AusConservation: Committee members attempt to wedge groups with false dichotomy of ""advocacy"" vs ""on ground"" work. @Naturefsa resists. "
@KSeibertAu,2,753,RT @AusConservation: The beauty of philanthropy is that its not government. It is private wealth for public good @PhilanthropyAus #DefendE
@Kanga_06,2,894,RT @AusConservation: The @ComCouncil tells inquiry that charities employ five times more people than mining does in Australia. #DefendEnvir
@KerryJenson,2,310,RT @AusConservation: The beauty of philanthropy is that its not government. It is private wealth for public good @PhilanthropyAus #DefendE
@tuipsych,2,32,RT @AusConservation: Havent been in Oz for 14 years. I'm uncomfortable with flying too much but current govt make me think again @NaomiAKle
@vitocornacchia,2,8807,RT @AusConservation: http://t.co/t5F5d6oHIu http://t.co/a5T1Pv7wnN
@jett_hachi,2,160,RT @AusConservation: India uranium exports red-light a test for Government writes @NukeDaveSweeney @independentaus https://t.co/wkE0cmnCi2
@kateamarshall,2,708,RT @AusConservation: The combination of climate change and a system that devalues black lives is terrifying - that was Katrina @NaomiAKlein
@KirstyWho,2,498,RT @AusConservation: Treating water as merely a farm input was how we stuffed up the Murray. Putting it in Ag portfolio repeats mistake htt
@JohnWJenR,2,578,RT @AusConservation: Tony Abbott faces cool reception in Port Moresby this week at Pacific Island Forum from leaders over climate change ht
@jillyfrees,2,562,"RT @AusConservation: WATCH THIS VIDEO and join us at Vic Parliament lunchtime Monday, as the inquiry into environment groups meets inside h"
@ALCAScommunity,2,541,RT @AusConservation: Environment groups concerned #TPP could restrict Australian policy making: http://t.co/8LgMXHdPGB #climate @KellyOShan
@Jenflipcow,2,217,RT @AusConservation: Renewable projects must be controlled by first nations people to ensure the transition is a just transition @NaomiAKle
@JeRivA693,2,204,"RT @AusConservation: WATCH THIS VIDEO and join us at Vic Parliament lunchtime Monday, as the inquiry into environment groups meets inside h"
@WildernessVIC,2,3184,RT @AusConservation: Further evidence of the systemic failure at Energy Resources of Australias Ranger uranium mine @NukeDaveSweeney http:
@RasataK,2,87,RT @AusConservation: The @ComCouncil tells inquiry that charities employ five times more people than mining does in Australia. #DefendEnvir
@thischanges,2,9819,RT @AusConservation: If we treat climate as the crisis it is - it can be an opportunity to build a better society @NaomiAKlein @MelbWriters
@Jane8Toner,2,647,RT @AusConservation: The fine folks of Melbourne holding photos of the places they love #DefendEnviroOrgs http://t.co/GRnHF296R8
@pckeane2014,2,319,"RT @AusConservation: Remove duplication caused by separate Register of Env Orgs, says Prof O'Connell from the NPF project @MelbLawSchool #D"
@AmandaTatts,2,2069,RT @AusConservation: In general Australia punches above its weight. It should do this on climate change. @DocsEnvAus #DefendEnviroOrgs #HoR
@LeadbeatersPoss,2,3334,RT @AusConservation: As young people we don t believe there needs to be a tension between jobs and environment says Kirsty Albion of @AYCC
@BenOquist,2,4103,"RT @AusConservation: Live at @MelbWritersFest where @BenOquist has just ntroduced @NaomiAKlein as ""one of the most influential voices of ou"
@contriteshadow,2,1285,RT @AusConservation: Indigenous people have been fighting extraction on their land since the start of colonialism @NaomiAKlein @MelbWriters
@Coaltopia,2,2167,RT @AusConservation: C'ttee member shares his theory that people who live in concrete jungle (cities) only advocate to alleviate their guil
@Sqawkin,2,923,RT @AusConservation: The combination of climate change and a system that devalues black lives is terrifying - that was Katrina @NaomiAKlein
@MattiLRose,2,428,RT @AusConservation: Frydenberg must direct infrastructure fund to real nation building @renew_economy @MattiLRose http://t.co/dIBqPFvAeH
@MattRuffin,2,1392,"RT @AusConservation: Tax deductions arent subsidies, they are an investments by government, says economist Prof Bill Malcolm #DefendEnviro"
@MothershipJLH,2,279,RT @AusConservation: These free trade deals can place insane barriers on places embracing renewable - we must resist that @NaomiAKlein @Mel
@heagneywyoming,2,315,"RT @AusConservation: Nuclear waste-govt close to releasing possible sites
 ""Responsible management
cant be fast-tracked"" @NukeDaveSweeney "
@margokingston1,2,24465,RT @AusConservation: Politicians can spin it any which way but polls show Australians don't swallow mining industry propaganda #freekaren #
@MarkPlackett1,2,1852,RT @AusConservation: Many of the places we love saved because people cared and joined Australia's environment groups. #DefendEnviroOrgs htt
@MsHorticulture,2,460,RT @AusConservation: Many of the places we love saved because people cared and joined Australia's environment groups. #DefendEnviroOrgs htt
@MargaretClark12,2,2341,RT @AusConservation: Treating water as merely a farm input was how we stuffed up the Murray. Putting it in Ag portfolio repeats mistake htt
@Apudthama,2,176,RT @AusConservation: North Stradbroke Island should be renamed Minjerribah  the island's traditional indigenous name: http://t.co/YiLNtpWO
@NetwiSue,2,985,RT @AusConservation: Turnbull has signalled public transport is back on the federal government's agenda - appoints Minister for Cities http
@lianerossler,2,2877,RT @AusConservation: Havent been in Oz for 14 years. I'm uncomfortable with flying too much but current govt make me think again @NaomiAKle
@gcgreens2015,2,207,RT @AusConservation: Hurrah for all these lovely people who have turned out to #DefendEnviroOrgs http://t.co/NKX7URJVVD
@AustralNature,2,936,RT @AusConservation: Following expansion approval for Acland coal mine QLD's corruption watchdog asked to investigate political donations h
@gayedemanuele,2,975,RT @AusConservation: The fine folks of Melbourne holding photos of the places they love #DefendEnviroOrgs http://t.co/GRnHF296R8
@Sarah_DurrantAU,2,273,RT @AusConservation: Only 22 per cent support Abbott govt plan to stop community groups going to court to defend the environment: http://t.
@mischamateja,2,84,RT @AusConservation: CCWA Director on diversity of env group activities: As an ex-mechanic I know the importance of picking the right tool
@toolangi3777,2,1186,RT @AusConservation: We need to talk about climate change as a profound moral crisis @NaomiAKlein @MelbWritersFest
@gaillard_ian,2,256,"RT @AusConservation: On White House lawn, Pope Francis calls on US to fight climate change @Pontifex @TurnbullMalcolm http://t.co/dD8g5UQOQY"
@LeroyLeadbeater,2,1311,RT @AusConservation: The fine folks of Melbourne holding photos of the places they love #DefendEnviroOrgs http://t.co/GRnHF296R8
@Leel06Lee,2,698,"RT @AusConservation: The fine folk who turned up today to Vic Parliament to say ""Caring keeps Australian beautiful"" #DefendEnviroOrgs http:"
@MissNea1968,2,3630,RT @AusConservation: Further evidence of the systemic failure at Energy Resources of Australias Ranger uranium mine @NukeDaveSweeney http:
@MackayConsGroup,2,176,RT @AusConservation: Some extraordinary evidence this arvo from business groups e.g. Democracy will eventually destroy the world #DefendE
@sydnets,2,3047,RT @AusConservation: We do not say env groups should not be able to speak publicly about environmental issues: @MineralsCouncil. #DefendE
@J9onthelake,2,24,RT @AusConservation: http://t.co/t5F5d6oHIu http://t.co/a5T1Pv7wnN
@EDO_NT,2,808,RT @AusConservation: Further evidence of the systemic failure at Energy Resources of Australias Ranger uranium mine @NukeDaveSweeney http:
@sacarlin48,2,1334,RT @AusConservation: The fine folks of Melbourne holding photos of the places they love #DefendEnviroOrgs http://t.co/GRnHF296R8
@bertbohosouth,2,158,RT @AusConservation: Then irony of @TonyAbbottMHR policies is that they make no sense economically @NaomiAKlein @MelbWritersFest
@x4mediaLtd,2,1651,RT @AusConservation: Politicians can spin it any which way but polls show Australians don't swallow mining industry propaganda #freekaren #
@GPHAUS,2,55,RT @AusConservation: Five island nations vulnerable to climate change have joined calls for a global moratorium on new coalmines. http://t.
@COMARINO22,2,123,RT @AusConservation: What a great quote from @ConservationWA director and @AusConservation councillor @PiersVerstegen! https://t.co/f2hm7zD
@blanketcrap,2,13355,RT @AusConservation: Politicians can spin it any which way but polls show Australians don't swallow mining industry propaganda #freekaren #
@FreeLexAU,2,231,RT @AusConservation: The beauty of philanthropy is that its not government. It is private wealth for public good @PhilanthropyAus #DefendE
